datetime,wind_power,wind_speed,solar_power,solar_irradiation,temperature
2015-01-04 02:15:00+00,0.6268475,4.38125,2.244232364,0.41287533,9.3
2015-01-04 02:30:00+00,0.7159025,4.44375,2.370046235,0.438625351,9.5
2015-01-04 02:45:00+00,0.8049575,4.50625,2.495860106,0.464375371,9.7
2015-01-04 03:00:00+00,0.8940125,4.56875,2.621673976,0.490125392,9.9
2015-01-04 03:15:00+00,0.9320825,4.6625,2.708815339,0.508500406,10.0875
2015-01-04 03:30:00+00,0.9191675,4.7875,2.757284193,0.519500416,10.2625
2015-01-04 03:45:00+00,0.9062525,4.9125,2.805753048,0.530500425,10.4375
2015-01-04 04:00:00+00,0.8933375,5.0375,2.854221902,0.541500433,10.6125
2015-01-04 04:15:00+00,0.80936,5.1125,2.855019229,0.544250436,10.75625
2015-01-04 04:30:00+00,0.65432,5.1375,2.808145028,0.538750431,10.86875
2015-01-04 04:45:00+00,0.49928,5.1625,2.761270828,0.533250427,10.98125
2015-01-04 05:00:00+00,0.34424,5.1875,2.714396627,0.527750422,11.09375
2015-01-04 05:15:00+00,0.262835,5.09375,2.662531591,0.515750413,11.18125
2015-01-04 05:30:00+00,0.255065,4.88125,2.60567572,0.497250398,11.24375
2015-01-04 05:45:00+00,0.247295,4.66875,2.54881985,0.478750383,11.30625
2015-01-04 06:00:00+00,0.239525,4.45625,2.491963979,0.460250368,11.36875
2015-01-04 06:15:00+00,0.23564,4.30625,2.38397575,0.434250348,11.40625
2015-01-04 06:30:00+00,0.23564,4.21875,2.224855166,0.400750321,11.41875
2015-01-04 06:45:00+00,0.23564,4.13125,2.065734581,0.367250294,11.43125
2015-01-04 07:00:00+00,0.23564,4.04375,1.906613995,0.333750267,11.44375
2015-01-04 07:15:00+00,0.2533025,4.0125,1.711583532,0.296875238,11.4125
2015-01-04 07:30:00+00,0.2886275,4.0375,1.48064319,0.256625206,11.3375
2015-01-04 07:45:00+00,0.3239525,4.0625,1.249702848,0.216375173,11.2625
2015-01-04 08:00:00+00,0.3592775,4.0875,1.018762506,0.176125141,11.1875
2015-01-04 08:15:00+00,0.40896,4.15625,0.791929475,0.13725011,11.075
2015-01-04 08:30:00+00,0.473,4.26875,0.569203755,0.09975008,10.925
2015-01-04 08:45:00+00,0.53704,4.38125,0.346478034,0.06225005,10.775
2015-01-04 09:00:00+00,0.60108,4.49375,0.123752314,0.02475002,10.625
2015-01-04 09:15:00+00,0.65247,4.56875,0.010840772,0.005250004,10.475
2015-01-04 09:30:00+00,0.69121,4.60625,0.007743409,0.003750003,10.325
2015-01-04 09:45:00+00,0.72995,4.64375,0.004646045,0.002250002,10.175
2015-01-04 10:00:00+00,0.76869,4.68125,0.001548682,0.000750001,10.025
2015-01-04 10:15:00+00,0.7690225,4.7,0,0,9.8875
2015-01-04 10:30:00+00,0.7309475,4.7,0,0,9.7625
2015-01-04 10:45:00+00,0.6928725,4.7,0,0,9.6375
2015-01-04 11:00:00+00,0.6547975,4.7,0,0,9.5125
2015-01-04 11:15:00+00,0.629465,4.65,0,0,9.3875
